datetime,x (m),y(m)
21-Sep-2023 23:23:56,103.68,35.58
21-Sep-2023 23:33:57,69.24,25.07
21-Sep-2023 23:43:57,82.56,29.88
21-Sep-2023 23:53:57,102.03,35.97
22-Sep-2023 00:03:57,76.65,29.89
22-Sep-2023 00:13:56,74.29,17.54
22-Sep-2023 06:33:57,49.50,15.20
22-Sep-2023 06:43:57,41.03,14.86
22-Sep-2023 06:53:56,36.88,12.65
22-Sep-2023 07:03:56,64.52,19.53
22-Sep-2023 07:13:56,42.97,11.30
22-Sep-2023 09:23:56,39.87,11.14
22-Sep-2023 09:33:56,35.12,10.11
22-Sep-2023 09:43:56,93.45,24.44
22-Sep-2023 09:53:56,77.17,20.21
22-Sep-2023 14:23:56,76.21,31.89
22-Sep-2023 14:33:57,72.99,23.70
22-Sep-2023 14:43:56,64.02,17.90
22-Sep-2023 15:03:56,49.04,13.71
22-Sep-2023 15:13:57,55.22,18.92
22-Sep-2023 15:23:56,70.49,20.95
22-Sep-2023 15:33:57,62.63,18.62
22-Sep-2023 15:43:56,41.68,15.43
22-Sep-2023 15:53:57,58.48,14.80
22-Sep-2023 16:03:56,63.07,16.49
22-Sep-2023 16:23:56,64.51,17.73
22-Sep-2023 16:33:56,42.34,13.34
22-Sep-2023 16:53:56,69.50,21.29
22-Sep-2023 17:03:56,77.04,22.21
22-Sep-2023 17:13:57,60.40,12.15
22-Sep-2023 17:23:56,58.34,15.78
22-Sep-2023 17:33:56,58.48,18.41
22-Sep-2023 17:43:56,83.83,19.77
22-Sep-2023 17:53:56,97.93,29.14
22-Sep-2023 18:03:57,62.44,28.56
22-Sep-2023 18:13:57,59.35,18.19
22-Sep-2023 18:43:57,33.56,7.64
22-Sep-2023 18:53:57,41.29,10.48
22-Sep-2023 19:03:57,49.51,9.99
22-Sep-2023 19:13:57,68.69,30.78
22-Sep-2023 19:23:57,74.51,26.94
22-Sep-2023 19:33:57,66.55,31.46
22-Sep-2023 19:43:57,67.30,40.00
22-Sep-2023 19:53:57,77.89,23.88
22-Sep-2023 20:03:56,78.33,31.27
22-Sep-2023 20:13:57,54.44,14.78
22-Sep-2023 20:23:56,53.42,18.84
22-Sep-2023 20:33:57,87.02,23.63
22-Sep-2023 20:43:57,81.66,43.25
22-Sep-2023 20:53:56,93.04,34.53
22-Sep-2023 21:03:57,81.61,30.26
22-Sep-2023 21:13:57,94.67,36.02
22-Sep-2023 21:23:56,90.13,33.43
22-Sep-2023 21:33:57,88.42,32.01
22-Sep-2023 21:43:57,72.50,33.18
22-Sep-2023 21:53:56,88.74,24.08
22-Sep-2023 23:33:57,65.72,28.16
22-Sep-2023 23:43:57,70.23,15.38
23-Sep-2023 04:03:56,80.90,28.50
23-Sep-2023 04:13:56,59.57,21.53
23-Sep-2023 04:23:56,91.24,23.13
23-Sep-2023 04:33:56,103.13,31.66
23-Sep-2023 06:13:57,29.97,14.61
23-Sep-2023 06:23:56,46.21,20.23
23-Sep-2023 07:03:56,66.77,22.33
23-Sep-2023 07:13:57,68.85,16.87
23-Sep-2023 07:23:56,59.49,16.15
23-Sep-2023 07:33:56,59.94,14.17
23-Sep-2023 07:43:56,60.52,23.03
23-Sep-2023 07:53:57,54.02,13.24
23-Sep-2023 08:03:57,42.86,11.44
23-Sep-2023 08:13:57,71.37,20.63
23-Sep-2023 08:23:56,63.90,20.77
23-Sep-2023 08:33:56,63.25,18.28
23-Sep-2023 08:43:57,86.71,26.61
23-Sep-2023 08:53:56,92.17,30.80
23-Sep-2023 18:43:57,76.15,28.26
23-Sep-2023 18:53:56,67.81,31.05
